IdVoie,TypeVoie,Voie
356,ALL,DU 8 MAI 1945
357,RUE,MICHELET
358,AV,RENE SAMUEL
359,,GEORGES MESSIER
360,AV,EDOUARD HERRIOT
361,AV,MAL DE LATTRE DE TASSIGNY
363,AV,LAMARTINE
364,GR,GRANDE RUE
365,RUE,NAPOLEON FAUVEAU
366,RUE,DES TILLEULS
367,RUE,DE REUILLY
368,RUE,DE CIVRY
369,RUE,ALBERT ROUSSEL
370,RUE,PIERRE FONCIN
371,AV,JEAN FALCONNIER
372,,MATAFELON
373,CHE,DU LAVOIR
374,RUE,PORTE CROUY
375,,LE VILLAGE
376,,LA JOUE DU LOUP
377,RUE,JEAN EYMAR
378,RUE,FODERE
380,AV,RENE BOYLESVE
381,RTE,ST PIERRE FERIC
382,IMP,BOTTA
383,RUE,SAINT PIERRE
384,BD,GUYNEMER
385,IMP,DES CAPUCINS
386,,LE HAMEAU
387,RUE,FALICON
388,,FRONT DE NEIGE
389,,ADRECH DE BARRIS
390,BD,DES HORIZONS
391,RUE,NOTRE-DAME
392,COR,FAHNESTOCK
393,RUE,DU CIMETIERE
394,BD,PARDIGON
395,BD,HENRI MAULINI
396,AV,CAPORAL CHEF ALAIN DERUY
398,RUE,LOUIS VIGNOL
399,RUE,FONTAINIEU
400,BD,DES ALPES
401,RUE,LAUNAY
402,RUE,CHARLES MOZIN
403,RUE,BIAIS
404,VC,RES LA CORNICHE DU MONT
406,VC,LE BOULOIR
407,VC,RES LES MARINES
408,BD,MAUGER
409,RUE,PORT THUREAU
410,RUE,DE LA CONCORDE
412,RUE,DE LA VAREE
413,RUE,DE L ARMEE BELGE
414,RUE,DES PROFESSEURS CURIE
415,VGE,DE TERRA BELLA
416,,STAGNO TONDO
417,,SUARALTA
420,RTE,DES MARINES
421,AV,DU PALAIS DE LA MER
423,RUE,DES CEDRES
424,CHE,DE LA POUSARENCO
425,PL,COMMERCIALE JOLIMONT
426,RUE,DE SOISSONS
427,,LE DOMAINE DU GOLF II
428,AV,DE PICOT
430,RTE,DE TOULOUSE
431,CRS,DU GENERAL DE GAULLE
