CodeCommune,NomCommune,CodePostal
519,LE TAILLAN MEDOC,33320.0
104,CASTELNAU-DE-MEDOC,33480.0
56,BLANQUEFORT,33290.0
268,MARGAUX CANTENAC,33460.0
63,BORDEAUX,33800.0
39,BEGLES,33130.0
281,MERIGNAC,33700.0
192,GRADIGNAN,33170.0
522,TALENCE,33400.0
318,PESSAC,33600.0
550,VILLENAVE D ORNON,33140.0
422,SAINT JEAN D ILLAC,33127.0
273,MARTIGNAS SUR JALLE,33127.0
90,CANEJAN,33610.0
122,CESTAS,33610.0
81,CADILLAC,33410.0
51,BIGANOS,33380.0
9,ARCACHON,33120.0
