IdMutation,DateMutation,ValeurFonciere,TypeMutation,IdLogement
220,2020-02-28,176000.0,Vente,217
221,2020-06-18,103500.0,Vente,218
222,2020-06-11,117000.0,Vente,219
223,2020-01-24,951500.0,Vente,220
224,2020-03-12,120000.0,Vente,221
225,2020-03-19,702000.0,Vente,222
226,2020-06-25,960000.0,Vente,223
227,2020-01-08,190000.0,Vente,224
228,2020-06-04,342000.0,Vente,225
229,2020-03-17,195300.0,Vente,226
230,2020-06-22,140000.0,Vente,227
231,2020-02-05,31000.0,Vente,228
232,2020-01-21,125000.0,Vente,229
233,2020-04-03,210000.0,Vente,230
234,2020-01-31,285000.0,Vente,231
235,2020-06-02,471810.0,Vente,232
236,2020-05-26,375000.0,Vente,233
237,2020-02-03,140500.0,Vente,234
238,2020-01-27,101050.0,Vente,235
239,2020-01-31,530000.0,Vente,236
240,2020-02-25,435000.0,Vente,237
241,2020-01-29,486415.0,Vente,238
242,2020-06-25,303000.0,Vente,239
243,2020-01-28,185000.0,Vente,240
244,2020-04-22,223905.0,Vente,240
245,2020-01-28,210000.0,Vente,241
246,2020-05-12,230000.0,Vente,242
247,2020-01-16,131376.0,Vente,243
248,2020-01-30,140000.0,Vente,244
249,2020-05-11,115000.0,Vente,245
250,2020-01-24,83000.0,Vente,246
251,2020-05-26,103300.0,Vente,247
252,2020-01-23,77000.0,Vente,248
253,2020-06-26,70000.0,Vente,249
254,2020-01-15,30000.0,Vente,250
255,2020-03-13,463150.0,Vente,251
256,2020-05-19,209000.0,Vente,252
257,2020-02-21,135000.0,Vente,253
258,2020-01-16,125000.0,Vente,254
259,2020-01-31,71500.0,Vente,255
260,2020-01-23,155000.0,Vente,256
261,2020-01-31,150000.0,Vente,257
262,2020-02-03,67000.0,Vente,258
263,2020-01-13,114000.0,Vente,259
264,2020-02-07,143850.0,Vente,260
265,2020-05-12,87700.0,Vente,261
266,2020-06-15,91500.0,Vente,261
267,2020-06-10,160000.0,Vente,262
268,2020-01-23,237900.0,Vente,263
269,2020-01-24,425000.0,Vente,264
270,2020-02-06,475150.0,Vente,265
271,2020-02-10,295000.0,Vente,266
272,2020-02-06,220000.0,Vente,267
273,2020-05-19,235600.0,Vente,268
274,2020-02-07,55000.0,Vente,269
275,2020-02-07,164665.0,Vente,270
276,2020-02-10,89000.0,Vente,271
277,2020-02-12,132500.0,Vente,272
278,2020-04-01,45000.0,Vente,273
279,2020-02-05,68000.0,Vente,274
280,2020-01-30,570840.0,Vente,275
281,2020-02-03,135700.0,Vente,276
282,2020-06-24,365000.0,Vente,277
283,2020-02-05,69710.0,Vente,278
284,2020-01-10,141150.0,Vente,279
285,2020-06-10,180500.0,Vente,280
